[2019-07-15 16:10:58] [Error] System.Exception: 端口已被占用
   在 Shadowsocks.Controller.Listener.Start(Configuration config, Int32 port)
   在 Shadowsocks.Controller.ShadowsocksController.Reload()
[2019-07-15 16:11:10] [Error] connect to update server error
[2019-07-15 16:11:16] ShadowsocksR started on port 1080
[2019-07-15 16:11:17] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:17] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:17] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:17] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:11:25] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:25] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:26] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:26] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:11:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:27] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:11:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:27] [Info] Connect raw.githubusercontent.com:443
[2019-07-15 16:11:28] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-15 16:11:28] [Error] connect to update server error
[2019-07-15 16:11:36] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:36] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:36] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:36] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:11:47] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:47] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:47] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:47] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:11:59] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:59] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:59] [Info] Connect clients4.google.com:443
[2019-07-15 16:11:59] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:12:00] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:12:00] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:12:00] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:12:00] [Info] Disconnect v10.events.data.microsoft.com:443
[2019-07-15 16:12:12] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:12] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:12] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:12] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:12:26] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:26] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:27] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:27] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:12:34] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:12:35] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:12:35] [Info] Connect az764295.vo.msecnd.net:443
[2019-07-15 16:12:35] [Info] Disconnect az764295.vo.msecnd.net:443
[2019-07-15 16:12:42] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:42] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:42] [Info] Connect clients4.google.com:443
[2019-07-15 16:12:43] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:12:59] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:00] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:00] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:00] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:13:18] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:19] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:19] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:19] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:13:28] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:13:28] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:13:29] [Info] Connect v10.events.data.microsoft.com:443
[2019-07-15 16:13:29] [Info] Disconnect v10.events.data.microsoft.com:443
[2019-07-15 16:13:39] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:39] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:40] [Info] Connect clients4.google.com:443
[2019-07-15 16:13:40] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:14:02] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:02] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:02] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:03] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:14:27] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:27] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:27] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:28] [Info] Disconnect clients4.google.com:443
[2019-07-15 16:14:54] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:55] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:55] [Info] Connect clients4.google.com:443
[2019-07-15 16:14:55] [Info] Disconnect clients4.google.com:443
